"second_name","first_name","title","phone","fax","postal","address_type","party","state","electorate","address1","suburb","state","pcode","fax","phone","tollfree","postal","address_type","job"
"Smith","Tony","Mr","(02) 6277 4284","(02) 6277 8439",0,3,"LP","Vic","Casey","Suite 1, 1 East Ridge Drive","Chirnside Park","Vic",3116,"(03) 9727 0833","(03) 9727 0799",,1,1,
"Smith","Stephen","Mr","(02) 6277 7800","(02) 6273 4118",0,3,"ALP","WA","Perth","PO Box 901","Inglewood","WA",6932,"(08) 9272 3477","(08) 9272 3411",,1,1,"Minister for Defence"
"Smyth","Laura","Ms","(02) 6277 4114","(02) 6277 8467",0,3,"ALP","Vic","La Trobe","Unit 3/16 Langmore Lane","Berwick","Vic",3806,"(03) 9768 9152","(03) 9796 1788",,1,1,
"Snowdon","Warren","Mr","(02) 6277 7820","(02) 6273 4140",0,3,"ALP","NT","Lingiari","PO Box 4007","Alice Springs","NT",870,"(08) 8952 5922","(08) 8952 9696",,1,1,"Minister for Veterans' Affairs, Minister for Defence Science and Personnel, Minister for Indigenous Health, Minister Assisting the Prime Minister on the Centenary of ANZAC"
"Somlyay","Alexander","Mr","(02) 6277 4244","(02) 6277 8436",0,3,"LP","Qld","Fairfax","PO Box 1978","Sunshine Plaza","Qld",4558,"(07) 5443 5333","(07) 5479 2800",,1,1,
"Southcott","Andrew","Dr","(02) 6277 4283","(02) 6277 8476",0,3,"LP","SA","Boothby","Level 1, 724 Marion Road","Marion","SA",5043,"(08) 8374 3071","(08) 8374 0511",,1,1,
"Stone","Sharman","Dr","(02) 6277 4477","(02) 6277 8454",0,3,"LP","Vic","Murray","PO Box 884","Shepparton","Vic",3632,"(03) 5821 8429","(03) 5821 5371",,1,1,
"Swan","Wayne","Mr","(02) 6277 7340","(02) 6273 3420",0,3,"ALP","Qld","Lilley","PO Box 182","Nundah","Qld",4012,"(07) 3266 4263","(07) 3266 8244",,1,1,"Deputy Prime Minister, Treasurer"
"Symon","Mike","Mr","(02) 6277 4255","(02) 6277 8451",0,3,"ALP","Vic","Deakin","PO Box 232","Mitcham","Vic",3132,"(03) 9874 4644","(03) 9874 4544",,1,1,
"Tehan","Dan","Mr","(02) 6277 4393","(02) 6277 8538",0,3,"LP","Vic","Wannon","190 Gray Street","Hamilton","Vic",3300,"(03) 5572 1141","(03) 5572 1100","1300 131 692",1,1,
"Thomson","Craig","Mr","(02) 6277 4460","(02) 6277 2123",0,3,"ALP","NSW","Dobell","PO Box 3763","Tuggerah","NSW",2259,"(02) 4353 6480","(02) 4351 1223",,1,1,
"Thomson","Kelvin","Mr","(02) 6277 4633","(02) 6277 8409",0,3,"ALP","Vic","Wills","3 Munro Street","Coburg","Vic",3058,"(03) 9350 6613","(03) 9350 5777",,1,1,
"Truss","Warren","Mr","(02) 6277 4482","(02) 6277 8569",0,3,"Nats","Qld","Wide Bay","PO Box 283","Maryborough","Qld",4650,"(07) 4122 3968","(07) 4121 2936",,1,1,"Leader of The Nationals"
"Tudge","Alan","Mr","(02) 6277 4354","(02) 6277 8487",0,3,"LP","Vic","Aston","Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic",3152,"(03) 9887 3893","(03) 9887 3890",,1,1,
"Turnbull","Malcolm","Mr","(02) 6277 4144","(02) 6277 8445",0,3,"LP","NSW","Wentworth","PO Box 545","Edgecliff","NSW",2027,"(02) 9327 2533","(02) 9327 3988",,1,1,
"Vamvakinou","Maria","Ms","(02) 6277 4249","(02) 6277 8426",0,3,"ALP","Vic","Calwell","Office 6, 1100 Pascoe Vale Road","Broadmeadows","Vic",3047,"(03) 9309 4255","(03) 9309 3655",,1,1,
"Van Manen","Bert","Mr","(02) 6277 4719","(02) 6277 8553",0,3,"LP","Qld","Forde","PO Box 884","Beenleigh","Qld",4207,"(07) 3807 1990","(07) 3807 6340",,1,1,
"Vasta","Ross","Mr","(02) 6277 4632","(02) 6277 8535",0,3,"LP","Qld","Bonner","69 Clara Street","Wynnum","Qld",4178,"(07) 3893 3422","(07) 3893 3488",,1,1,
"Washer","Mal","Dr","(02) 6277 2114","(02) 6277 8587",0,3,"LP","WA","Moore","3 Boas Avenue","Joondalup","WA",6027,"(08) 9300 2245","(08) 9300 2244",,1,1,
"Wilkie","Andrew","Mr","(02) 6277 4766","(02) 6277 8579",0,3,"Ind.","Tas","Denison","GPO Box 32","Hobart","Tas",7001,"(03) 6223 8560","(03) 6234 5255",,1,1,
"Windsor","Tony","Mr","(02) 6277 4722","(02) 6277 8545",0,3,"Ind.","NSW","New England","PO Box 963","Tamworth","NSW",2340,"(02) 6761 3380","(02) 6761 3080","1300 301 839",1,1,
"Wyatt","Ken","Mr","(02) 6277 4707","(02) 6277 8552",0,3,"LP","WA","Hasluck","PO Box 325","Forrestfield","WA",6058,"(08) 9359 0197","(08) 9359 0322",,1,1,
"Zappia","Tony","Mr","(02) 6277 4147","(02) 6277 8592",0,3,"ALP","SA","Makin","PO Box 775","Modbury","SA",5092,"(08) 8265 3900","(08) 8265 3100",,1,1,
