""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"","State",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"Ripoll","Bernard","Fernando","Bernie","B. F.","Mr","Mr","MP","MALE","(02) 6277 4934","(02) 6277 8584","ALP","Qld","Oxley","PO Box 4042","Forest Lake","Qld","4078","(07) 38796441","(07) 38796440","",""
"Rishworth","Amanda","Louise","","A. L.","Ms","Ms","MP","FEMALE","(02) 6277 2293","(02) 6277 8498","ALP","SA","Kingston","232 Main South Road","Morphett Vale","SA","5162","(08) 8186 2688","(08) 8186 2588","1300 797 211",""
"Robb","Andrew","John","","A. J.","The Hon","Mr","AO, MP","MALE","(02) 6277 2062","(02) 6277 8525","LP","Vic","Goldstein","368 Centre Road","Bentleigh","Vic","3204","(03) 9557 2906","(03) 9557 4644","",""
"Robert","Stuart","Rowland","","S. R.","Mr","Mr","MP","MALE","(02) 6277 2106","(02) 6277 8441","LP","Qld","Fadden","PO Box 213","Oxenford","Qld","4210","(07) 5580 0366","(07) 5580 0355","",""
"Rowland","Michelle","Anne","Michelle","M. A.","Ms","Ms","MP","FEMALE","(02) 6277 4833","(02) 6277 8586","ALP","NSW","Greenway","PO Box 686","Seven Hills","NSW","1730","(02) 9671 5147","(02) 9671 4780","",""
"Roxon","Nicola","Louise","","N. L.","The Hon","Ms","MP","FEMALE","(02) 6277 7300","(02) 6273 4102","ALP","Vic","Gellibrand","1 Thomas Holmes Street","Maribyrnong","Vic","3032","(03) 9317 7477","(03) 9317 7077","","Attorney-General"
"Roy","Wyatt","","Wyatt","W. B.","Mr","Wyatt","MP","MALE","(02) 6277 4646","(02) 6277 8539","LP","Qld","Longman","PO Box 825","Morayfield","Qld","4506","(07) 5428 6800","(07) 5428 7755","",""
"Rudd","Kevin","Michael","","K. M.","The Hon","Mr","MP","MALE","(02) 6277 7500","(02) 6273 4112","ALP","Qld","Griffith","PO Box 476","Morningside","Qld","4170","(07) 3899 5755","(07) 3899 4031","","Minister for Foreign Affairs"
"Ruddock","Philip","Maxwell","","P. M.","The Hon","Mr","MP","MALE","(02) 6277 4077","(02) 6277 8466","LP","NSW","Berowra","PO Box 743","Pennant Hills","NSW","1715","(02) 9980 1833","(02) 9980 1822","",""
"Saffin","Janelle","Anne","","J. A.","Ms","Ms","MP","FEMALE","(02) 6277 4323","(02) 6277 8501","ALP","NSW","Page","61-63 Molesworth Street","Lismore","NSW","2480","(02) 6621 9959","(02) 6621 9909","",""
"Schultz","Albert","John","Alby","A. J.","Mr","Mr","MP","MALE","(02) 6277 4386","(02) 6277 8482","LP","NSW","Hume","PO Box 700","Goulburn","NSW","2580","02-4822 1029","02-4822 2277","",""
"Scott","Bruce","Craig","","B. C.","The Hon","Mr","MP","MALE","(02) 6277 4949","(02) 6277 8421","Nats","Qld","Maranoa","PO Box 641","Dalby","Qld","4405","(07) 4662 5149","(07) 4662 2715","1300 301 964","Second Deputy Speaker"
"Secker","Patrick","Damien","","P. D.","Mr","Mr","MP","MALE","(02) 6277 4217","(02) 6277 8541","LP","SA","Barker","37 Adelaide Road","Murray Bridge","SA","5253","(08) 8531 2124","(08) 8531 2466","1300 301 648","Opposition Whip"
"Shorten","William","Richard","Bill","W. R.","The Hon","Mr","MP","MALE","(02) 6277 7320","(02) 6273 4115","ALP","Vic","Maribyrnong","PO Box 214","Moonee Ponds","Vic","3039","(03) 9326 0611","(03) 9326 1300","","Minister for Employment and Workplace Relations, Minister for Financial Services and Superannuation"
"Sidebottom","Peter","Sid","Sid","P. S.","Hon","Mr","MP","MALE","(02) 6277 4911","(02) 6277 8547","ALP","Tas","Braddon","PO Box 908","Burnie","Tas","7320","(03) 6431 5680","(03) 6431 1333","","Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"Simpkins","Luke","Xavier Linton","","L. X. L.","Mr","Mr","MP","MALE","(02) 6277 4009","(02) 6277 8423","LP","WA","Cowan","PO Box 219","Kingsway","WA","6065","(08) 9409 5100","(08) 9409 4100","",""
"Slipper","Peter","Neil","","P. N.","The Hon","Mr","MP","MALE","(02) 6277 4000","(02) 6277 2050","Ind.","Qld","Fisher","PO Box 1224","Buddina","Qld","4575","(07) 5452 6655","(07) 5444 4888","1300 301 981","Speaker"
"Smith","Anthony","David Hawthorn","Tony","A. D. H.","The Hon","Mr","MP","MALE","(02) 6277 4284","(02) 6277 8439","LP","Vic","Casey","Suite 1, 1 East Ridge Drive","Chirnside Park","Vic","3116","(03) 9727 0833","(03) 9727 0799","",""
"Smith","Stephen","Francis","","S. F.","The Hon","Mr","MP","MALE","(02) 6277 7800","(02) 6273 4118","ALP","WA","Perth","PO Box 901","Inglewood","WA","6932","(08) 9272 3477","(08) 9272 3411","","Minister for Defence"
"Smyth","Laura","","","L.","Ms","Ms","MP","FEMALE","(02) 6277 4114","(02) 6277 8467","ALP","Vic","La Trobe","Unit 3/16 Langmore Lane","Berwick","Vic","3806","(03) 9768 9152","(03) 9796 1788","",""
"Snowdon","Warren","Edward","","W. E.","The Hon","Mr","MP","MALE","(02) 6277 7820","(02) 6273 4140","ALP","NT","Lingiari","PO Box 4007","Alice Springs","NT","0870","(08) 8952 5922","(08) 8952 9696","","Minister for Veterans' Affairs, Minister for Defence Science and Personnel, Minister for Indigenous Health, Minister Assisting the Prime Minister on the Centenary of ANZAC"
"Somlyay","Alexander","Michael","","A. M.","The Hon","Mr","MP","MALE","(02) 6277 4244","(02) 6277 8436","LP","Qld","Fairfax","PO Box 1978","Sunshine Plaza","Qld","4558","(07) 5443 5333","(07) 5479 2800","",""
"Southcott","Andrew","John","","A. J.","Dr","Dr","MP","MALE","(02) 6277 4283","(02) 6277 8476","LP","SA","Boothby","Level 1, 724 Marion Road","Marion","SA","5043","(08) 8374 3071","(08) 8374 0511","",""
"Stone","Sharman","Nancy","","S. N.","The Hon Dr","Dr","MP","FEMALE","(02) 6277 4477","(02) 6277 8454","LP","Vic","Murray","PO Box 884","Shepparton","Vic","3632","(03) 5821 8429","(03) 5821 5371","",""
"Swan","Wayne","Maxwell","","W. M.","The Hon","Mr","MP","MALE","(02) 6277 7340","(02) 6273 3420","ALP","Qld","Lilley","PO Box 182","Nundah","Qld","4012","(07) 3266 4263","(07) 3266 8244","","Deputy Prime Minister, Treasurer"
"Symon","Michael","Stuart","Mike","M. S.","Mr","Mr","MP","MALE","(02) 6277 4255","(02) 6277 8451","ALP","Vic","Deakin","PO Box 232","Mitcham","Vic","3132","(03) 9874 4644","(03) 9874 4544","",""
"Tehan","Daniel","Thomas","Dan","D. T.","Mr","Mr","MP","MALE","(02) 6277 4393","(02) 6277 8538","LP","Vic","Wannon","190 Gray Street","Hamilton","Vic","3300","(03) 5572 1141","(03) 5572 1100","1300 131 692",""
"Thomson","Craig","Robert","","C. R.","Mr","Mr","MP","MALE","(02) 6277 4460","(02) 6277 2123","ALP","NSW","Dobell","PO Box 3763","Tuggerah","NSW","2259","(02) 4353 6480","(02) 4351 1223","",""
"Thomson","Kelvin","John","","K. J.","Mr","Mr","MP","MALE","(02) 6277 4633","(02) 6277 8409","ALP","Vic","Wills","3 Munro Street","Coburg","Vic","3058","(03) 9350 6613","(03) 9350 5777","",""
"Truss","Warren","Errol","","W. E.","The Hon","Mr","MP","MALE","(02) 6277 4482","(02) 6277 8569","Nats","Qld","Wide Bay","PO Box 283","Maryborough","Qld","4650","(07) 4122 3968","(07) 4121 2936","","Leader of The Nationals"
"Tudge","Alan","Edward","Alan","A. E.","Mr","Mr","MP","MALE","(02) 6277 4354","(02) 6277 8487","LP","Vic","Aston","Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic","3152","(03) 9887 3893","(03) 9887 3890","",""
"Turnbull","Malcolm","Bligh","","M. B.","The Hon","Mr","MP","MALE","(02) 6277 4144","(02) 6277 8445","LP","NSW","Wentworth","PO Box 545","Edgecliff","NSW","2027","(02) 9327 2533","(02) 9327 3988","",""
"Vamvakinou","Maria","","","M.","Ms","Ms","MP","FEMALE","(02) 6277 4249","(02) 6277 8426","ALP","Vic","Calwell","Office 6, 1100 Pascoe Vale Road","Broadmeadows","Vic","3047","(03) 9309 4255","(03) 9309 3655","",""
"Van Manen","Albertus","Johannes","Bert","A. J.","Mr","Mr","MP","MALE","(02) 6277 4719","(02) 6277 8553","LP","Qld","Forde","PO Box 884","Beenleigh","Qld","4207","(07) 3807 1990","(07) 3807 6340","",""
"Vasta","Ross","Xavier","Ross","R. X.","Mr","Mr","MP","MALE","(02) 6277 4632","(02) 6277 8535","LP","Qld","Bonner","69 Clara Street","Wynnum","Qld","4178","(07) 3893 3422","(07) 3893 3488","",""
"Washer","Malcolm","James","Mal","M. J.","Dr","Dr","MP","MALE","(02) 6277 2114","(02) 6277 8587","LP","WA","Moore","3 Boas Avenue","Joondalup","WA","6027","(08) 9300 2245","(08) 9300 2244","",""
"Wilkie","Andrew","Damien","Andrew","A. D.","Mr","Mr","MP","MALE","(02) 6277 4766","(02) 6277 8579","Ind.","Tas","Denison","GPO Box 32","Hobart","Tas","7001","(03) 6223 8560","(03) 6234 5255","",""
"Windsor","Antony","Harold Curties","Tony","A. H. C.","Mr","Mr","MP","MALE","(02) 6277 4722","(02) 6277 8545","Ind.","NSW","New England","PO Box 963","Tamworth","NSW","2340","(02) 6761 3380","(02) 6761 3080","1300 301 839",""
"Wyatt","Kenneth","George","Ken","K. G.","Mr","Mr","AM, MP","MALE","(02) 6277 4707","(02) 6277 8552","LP","WA","Hasluck","PO Box 325","Forrestfield","WA","6058","(08) 9359 0197","(08) 9359 0322","",""
"Zappia","Antonio","","Tony","A.","Mr","Mr","MP","MALE","(02) 6277 4147","(02) 6277 8592","ALP","SA","Makin","PO Box 775","Modbury","SA","5092","(08) 8265 3900","(08) 8265 3100","",""
